Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.98880e+02,0.4,0.8,0.36,-0.2
-4.98870e+02,-0.08,0.32,0.44,-0.2
-4.98860e+02,0.8,0.24,0.28,-0.36
-4.98850e+02,1.28,-0.16,-0.12,-0.52
-4.98840e+02,0.16,0.08,0.04,-0.12
-4.98830e+02,0.16,0.32,-0.2,-0.04
-4.98820e+02,-0.4,0.24,-0.36,0.12
-4.98810e+02,0.24,-0.56,-1.08,0.12
-4.98800e+02,0,-0.8,-0.84,0.12
-4.98790e+02,0,1.12,-1.24,-0.04
-4.98780e+02,-0.16,0.96,-1.48,-0.2
-4.98770e+02,-0.24,0,-1.24,0.12
-4.98760e+02,0.48,0.32,-0.84,-0.44
-4.98750e+02,0.48,0,-0.36,-0.36
-4.98740e+02,-0.56,-0.48,0.04,-0.12
-4.98730e+02,-0.4,-0.08,-0.28,0.12
-4.98720e+02,-1.2,0.24,0.04,-0.12
-4.98710e+02,-0.24,0.96,-0.6,-0.2
-4.98700e+02,0.32,-0.56,0.2,0.2
-4.98690e+02,0.16,-0.24,0.84,0.2
-4.98680e+02,-0.16,-0.16,1.8,0.2
-4.98670e+02,0.24,0.48,1.96,0.28
-4.98660e+02,0.16,-0.8,2.68,0.28
-4.98650e+02,0.72,-0.16,1.96,0.2
-4.98640e+02,0,-3.52,2.28,0.36
-4.98630e+02,-0.08,-6.4,2.52,0.2
-4.98620e+02,0.08,0.72,2.36,0.12
-4.98610e+02,0.64,inf,1.8,0.04
-4.98600e+02,-0.32,inf,0.92,0.04
-4.98590e+02,-1.44,-3.76,0.84,0.44
-4.98580e+02,-1.12,-3.52,-0.2,0.52
-4.98570e+02,-0.08,-1.04,0.12,0.6
-4.98560e+02,0.24,-0.16,-0.6,0.36
-4.98550e+02,-0.24,-0.24,-0.84,0.28
-4.98540e+02,-0.24,-0.4,-1.24,-0.36
-4.98530e+02,-0.48,-0.32,-1.4,-0.28
-4.98520e+02,0.72,0.24,-0.52,-0.92
-4.98510e+02,1.28,-0.8,-1,-0.92
-4.98500e+02,1.12,-0.32,-0.52,-0.52
-4.98490e+02,0.24,0.4,-0.44,-0.12
-4.98480e+02,-0.88,-0.24,-0.52,0.68
-4.98470e+02,-0.64,-0.4,0.04,0.52
-4.98460e+02,0.4,-0.32,-0.68,0.44
-4.98450e+02,0,-0.8,-0.76,0.28
-4.98440e+02,0.24,-0.24,0.2,0.44
-4.98430e+02,-0.32,-0.32,0.12,0.52
-4.98420e+02,0.56,0.56,-0.04,-0.28
-4.98410e+02,0.08,-0.24,-0.12,-0.2
-4.98400e+02,0.72,-0.4,-0.2,-0.36
-4.98390e+02,0.48,0.32,-0.44,-0.36
-4.98380e+02,0.48,0.88,-0.68,-0.2
-4.98370e+02,-0.64,0.24,-0.44,0.52
-4.98360e+02,-0.32,-0.16,-0.44,0.52
-4.98350e+02,-0.96,-0.4,-0.36,0.76
-4.98340e+02,0.32,0.08,0.28,0.44
-4.98330e+02,0.48,-0.48,-0.12,0.44
-4.98320e+02,0,0.48,-0.12,-0.2
-4.98310e+02,0,0.56,-0.2,0.04
-4.98300e+02,0,0.72,-0.28,0.2
-4.98290e+02,0.24,0.4,0.2,0.04
-4.98280e+02,0,0.08,-0.2,0.28
-4.98270e+02,-0.4,0.16,0.28,0.44
-4.98260e+02,-1.04,0.4,0.12,0.6
-4.98250e+02,-0.56,0.88,-0.12,0.44
-4.98240e+02,0.32,0.24,-0.04,0.44
-4.98230e+02,-0.56,-0.72,0.6,0.84
-4.98220e+02,-0.08,0,-0.44,0.28
-4.98210e+02,0.08,0.24,-0.04,0.44
-4.98200e+02,0.56,0,-0.12,0.36
-4.98190e+02,0.64,-0.08,0.12,0.36
-4.98180e+02,0.72,0.48,0.2,0.28
-4.98170e+02,-0.08,0.48,-0.28,0.52
-4.98160e+02,-0.24,1.44,-0.84,0.2
-4.98150e+02,-0.64,0.4,0.12,0.44
-4.98140e+02,-0.96,0.96,0.76,0.6
-4.98130e+02,-0.08,0.72,0.68,-0.04
-4.98120e+02,0.32,0.96,1.4,0.12
-4.98110e+02,0.32,0.32,1.08,0.28
-4.98100e+02,0.16,0.96,0.44,0.6
-4.98090e+02,-0.24,0.88,0.68,0.6
-4.98080e+02,0.4,0.24,-0.12,0.36
-4.98070e+02,-0.48,-0.24,0.28,1.16
-4.98060e+02,0.4,0.4,-0.04,0.92
-4.98050e+02,-0.24,-0.08,-0.36,0.76
-4.98040e+02,0.24,0.72,0.12,0.68
-4.98030e+02,-0.08,0.64,-0.68,0.28
-4.98020e+02,-0.08,0.72,-0.68,0.2
-4.98010e+02,-0.08,0.48,-1.16,0.28
-4.98000e+02,-0.4,-0.4,-0.04,0.44
-4.97990e+02,0.24,-1.12,0.36,1.16
-4.97980e+02,0.48,-0.8,0.12,0.6
-4.97970e+02,-0.08,0.16,-0.68,0.52
-4.97960e+02,-0.32,0.64,-1.24,0.6
-4.97950e+02,-0.08,-0.32,-1.72,1.16
-4.97940e+02,0.32,-0.72,-0.6,0.92
-4.97930e+02,0.24,-0.8,-0.84,0.6
-4.97920e+02,-0.48,-0.24,-0.04,0.76
-4.97910e+02,0.96,-0.56,-0.52,0.44
-4.97900e+02,0.32,-0.96,-0.44,0.76
-4.97890e+02,0.24,0.4,-0.12,0.6
-4.97880e+02,0.64,-1.12,-0.12,1
-4.97870e+02,0.4,-1.28,-1.08,0.68
